expression	source_url
rocket surgery	https://en.wiktionary.org/wiki/rocket_surgery
row of pins	https://en.wiktionary.org/wiki/row_of_pins
ruffle any feathers	https://en.wiktionary.org/wiki/ruffle_any_feathers
savour	https://en.wiktionary.org/wiki/savour
say boo	https://en.wiktionary.org/wiki/say_boo
say boo to a goose	https://en.wiktionary.org/wiki/say_boo_to_a_goose
see beyond the end of one's nose	https://en.wiktionary.org/wiki/see_beyond_the_end_of_one's_nose
see beyond the tip of one's nose	https://en.wiktionary.org/wiki/see_beyond_the_tip_of_one's_nose
see daylight	https://en.wiktionary.org/wiki/see_daylight
see eye to eye	https://en.wiktionary.org/wiki/see_eye_to_eye
see past the end of one's nose	https://en.wiktionary.org/wiki/see_past_the_end_of_one's_nose
see past the tip of one's nose	https://en.wiktionary.org/wiki/see_past_the_tip_of_one's_nose
see the forest for the trees	https://en.wiktionary.org/wiki/see_the_forest_for_the_trees
see the wood for the trees	https://en.wiktionary.org/wiki/see_the_wood_for_the_trees
shadow	https://en.wiktionary.org/wiki/shadow
sight unseen	https://en.wiktionary.org/wiki/sight_unseen
sit right	https://en.wiktionary.org/wiki/sit_right
sleep a wink	https://en.wiktionary.org/wiki/sleep_a_wink
someone's cup of tea	https://en.wiktionary.org/wiki/someone's_cup_of_tea
someone's heart is in	https://en.wiktionary.org/wiki/someone's_heart_is_in
something to write home about	https://en.wiktionary.org/wiki/something_to_write_home_about
stand	https://en.wiktionary.org/wiki/stand
stim	https://en.wiktionary.org/wiki/stim
straw	https://en.wiktionary.org/wiki/straw
stroke of work	https://en.wiktionary.org/wiki/stroke_of_work
suffer fools gladly	https://en.wiktionary.org/wiki/suffer_fools_gladly
take kindly	https://en.wiktionary.org/wiki/take_kindly
take lightly	https://en.wiktionary.org/wiki/take_lightly
take no for an answer	https://en.wiktionary.org/wiki/take_no_for_an_answer
take sitting down	https://en.wiktionary.org/wiki/take_sitting_down
tap	https://en.wiktionary.org/wiki/tap
teach grandma how to suck eggs	https://en.wiktionary.org/wiki/teach_grandma_how_to_suck_eggs
telling	https://en.wiktionary.org/wiki/telling
that guy	https://en.wiktionary.org/wiki/that_guy
the full quid	https://en.wiktionary.org/wiki/the_full_quid
the full shilling	https://en.wiktionary.org/wiki/the_full_shilling
the half of it	https://en.wiktionary.org/wiki/the_half_of_it
the math is mathing	https://en.wiktionary.org/wiki/the_math_is_mathing
thing	https://en.wiktionary.org/wiki/thing
think much of	https://en.wiktionary.org/wiki/think_much_of
think straight	https://en.wiktionary.org/wiki/think_straight
throw someone out of bed	https://en.wiktionary.org/wiki/throw_someone_out_of_bed
to no avail	https://en.wiktionary.org/wiki/to_no_avail
to save one's life	https://en.wiktionary.org/wiki/to_save_one's_life
to speak of	https://en.wiktionary.org/wiki/to_speak_of
trust someone across the street	https://en.wiktionary.org/wiki/trust_someone_across_the_street
trust someone as far as one could throw them	https://en.wiktionary.org/wiki/trust_someone_as_far_as_one_could_throw_them
turn a hair	https://en.wiktionary.org/wiki/turn_a_hair
uncalled for	https://en.wiktionary.org/wiki/uncalled_for
uncalled-for	https://en.wiktionary.org/wiki/uncalled-for
under no circumstances	https://en.wiktionary.org/wiki/under_no_circumstances
unfuck	https://en.wiktionary.org/wiki/unfuck
unheard of	https://en.wiktionary.org/wiki/unheard_of
unheard-of	https://en.wiktionary.org/wiki/unheard-of
unkempt	https://en.wiktionary.org/wiki/unkempt
unsee	https://en.wiktionary.org/wiki/unsee
